ticker,primary_days,second_source_days,common_days,second_last_date,missing_in_second,missing_in_primary,max_abs_return_diff_bp,days_diff_over_1bp,days_diff_over_10bp
AAPL,1258.0,1257,1257.0,2023-12-28,1.0,0.0,7754.052,2.0,2.0
MSFT,1258.0,1257,1257.0,2023-12-28,1.0,0.0,317.069,1.0,1.0
GOOGL,1258.0,315,315.0,2020-04-01,943.0,0.0,0.004,0.0,0.0
AMZN,1258.0,1257,1257.0,2023-12-28,1.0,0.0,10048.051,1.0,1.0
TSLA,1258.0,1257,1257.0,2023-12-28,1.0,0.0,10591.41,1.0,1.0
META,1258.0,379,379.0,2020-07-02,879.0,0.0,0.003,0.0,0.0
NVDA,1258.0,1257,1257.0,2023-12-28,1.0,0.0,0.009,0.0,0.0
BRK-B,,0,,,,,,,
UNH,,0,,,,,,,
V,1258.0,1257,1257.0,2023-12-28,1.0,0.0,245.46,1.0,1.0
JPM,1258.0,1257,1257.0,2023-12-28,1.0,0.0,924.37,1.0,1.0
JNJ,1258.0,1257,1257.0,2023-12-28,1.0,0.0,912.512,1.0,1.0
HD,1258.0,370,370.0,2020-06-19,888.0,0.0,0.007,0.0,0.0
WMT,1258.0,1257,1257.0,2023-12-28,1.0,0.0,526.756,7.0,7.0
PG,1258.0,370,370.0,2020-06-19,888.0,0.0,0.005,0.0,0.0
BAC,1258.0,379,379.0,2020-07-02,879.0,0.0,72.058,1.0,1.0
MA,1258.0,379,379.0,2020-07-02,879.0,0.0,0.009,0.0,0.0
PFE,1258.0,1257,1257.0,2023-12-28,1.0,0.0,2083.812,3.0,3.0
DIS,1258.0,1257,1257.0,2023-12-28,1.0,0.0,33.137,1.0,1.0
AVGO,1258.0,1257,1257.0,2023-12-28,1.0,0.0,970.614,2.0,2.0
