Stock_symbol,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
AAPL,0,0,0,0,0,432,480,408,439,463,395,401,463,366,395,411,523,493,478,560,657,545,464,296
MSFT,0,0,0,103,296,321,365,248,332,358,273,310,451,404,437,592,552,486,672,465,458,607,513,273
GOOGL,151,163,168,211,144,173,170,132,120,143,139,162,200,208,167,223,222,181,185,184,197,223,173,144
AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,510,429,506,516,589,574,397,480,357
TSLA,0,0,0,0,441,421,378,370,314,427,308,387,527,355,363,501,399,490,626,457,457,571,390,238
META,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVDA,234,265,229,223,237,148,131,214,197,160,143,151,152,236,268,295,544,600,492,837,584,618,619,292
BRK-B,80,69,158,111,133,155,119,147,136,120,142,125,163,115,163,117,165,111,123,135,117,118,121,101
UNH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,118,73,91,110,57,64,66,66,56,77,69,55,103,65,93,107,77,107,162,99,107,122,108,73
JPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JNJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMT,105,118,123,112,280,170,195,232,121,86,181,108,106,141,107,113,176,126,120,239,158,171,259,53
PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIS,127,161,143,146,161,158,148,198,129,135,222,163,169,168,148,174,209,144,154,224,211,168,192,73
AVGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
